	lat	long	pressure	depth (m)	sigmat	Salinity	temp				oxygen (uM)	oxygen (ml/L)		
3177.611	15.76666	-105.00014	1.006	1	21.7351	33.9233	27.5372	0.4003	3.52E-01	4.76E+03	199.72	4.4192	0.0024	0.00E+00
3171.929	15.76666	-105.00016	2.012	2	21.736	33.9231	27.5344	0.3999	3.56E-01	1.91E+03	199.04	4.4832	0.0018	0.00E+00
3161.13	15.76666	-105.00016	3.018	3	21.7391	33.9232	27.5252	0.3997	3.59E-01	1.56E+03	199.199	1.8601	0.0294	0.00E+00
3155.068	15.76666	-105.00016	4.024	4	21.7427	33.9219	27.5111	0.4004	3.77E-01	1.36E+03	199.187	0.3735	0.0965	0.00E+00
3150.18	15.76666	-105.00016	5.03	5	21.7507	33.9264	27.497	0.4059	4.03E-01	1.21E+03	199.327	0.3793	0.0967	0.00E+00
3147.815	15.76666	-105.00016	6.036	6	21.7473	33.9237	27.5015	0.4011	3.90E-01	1.15E+03	199.785	0.3802	0.0966	0.00E+00
3146.158	15.76666	-105.00016	7.041	7	21.7518	33.9266	27.4945	0.4017	4.07E-01	9.84E+02	198.412	0.3815	0.0966	0.00E+00
3144.379	15.76666	-105.00016	8.047	8	21.755	33.9289	27.4902	0.4019	4.09E-01	9.33E+02	198.337	0.3831	0.0966	0.00E+00
3141.039	15.76666	-105.00016	9.054	9	21.7619	33.9347	27.4825	0.4004	4.29E-01	8.64E+02	199.364	0.3904	0.0966	0.00E+00
3139.014	15.76666	-105.00016	10.059	10	21.7607	33.9338	27.4843	0.4002	4.21E-01	8.30E+02	199.381	0.3951	0.0967	0.00E+00
3137.431	15.76666	-105.00016	11.065	11	21.7674	33.9392	27.4767	0.3998	4.27E-01	7.61E+02	199.044	0.3996	0.0966	0.00E+00
3135.596	15.76666	-105.00016	12.071	12	21.774	33.9449	27.4696	0.3999	4.43E-01	7.53E+02	199.064	0.4088	0.0966	0.00E+00
3133.442	15.76666	-105.00016	13.077	13	21.782	33.9514	27.46	0.3997	4.60E-01	7.17E+02	199.265	0.4578	0.0966	0.00E+00
3131.221	15.76666	-105.00016	14.083	14	21.8029	33.9679	27.4339	0.3994	4.55E-01	6.78E+02	199.587	1.3226	0.0967	0.00E+00
3129.094	15.76666	-105.00016	15.089	15	21.7962	33.9632	27.4439	0.4001	4.53E-01	6.55E+02	199.568	4.3597	0.0696	0.00E+00
3127.347	15.76666	-105.00016	16.095	16	21.7984	33.9649	27.4413	0.4001	4.34E-01	5.96E+02	199.606	4.4164	0.0024	0.00E+00
3125.813	15.76666	-105.00016	17.101	17	21.8047	33.97	27.4338	0.3995	4.40E-01	5.98E+02	199.889	4.4164	0.0024	0.00E+00
3124.077	15.76666	-105.00016	18.107	18	21.8122	33.976	27.4248	0.4007	4.81E-01	5.84E+02	200.233	4.4164	0.0024	0.00E+00
3122.13	15.76666	-105.00016	19.113	19	21.8141	33.9774	27.4226	0.3995	4.73E-01	5.25E+02	199.475	4.4164	0.0024	0.00E+00
3120.321	15.76666	-105.00016	20.119	20	21.8218	33.9822	27.4098	0.3995	4.62E-01	5.16E+02	199.593	4.4164	0.0024	0.00E+00
3118.276	15.76666	-105.00016	21.125	21	21.8285	33.983	27.3912	0.3995	4.81E-01	4.89E+02	199.951	4.4164	0.0024	0.00E+00
3116.017	15.76666	-105.00016	22.131	22	21.84	33.988	27.3671	0.3993	4.91E-01	4.47E+02	199.764	4.4163	0.0024	0.00E+00
3114.108	15.76666	-105.00016	23.138	23	21.8381	33.9872	27.3716	0.3991	4.77E-01	4.57E+02	200.298	4.4162	0.0024	0.00E+00
3112.21	15.76666	-105.00016	24.143	24	21.8418	33.9893	27.3651	0.4065	4.60E-01	4.38E+02	200.193	4.4162	0.0024	0.00E+00
