	lat	long	pressure	depth (m)	sigmat	Salinity	temp				oxygen (uM)	oxygen (ml/L)		
3110.688	15.76666	-105.00016	25.15	25	21.8453	33.9898	27.3557	0.4021	4.63E-01	4.06E+02	200.046	4.416	0.0024	0.00E+00
3109.331	15.76666	-105.00016	26.156	26	21.8478	33.9891	27.3464	0.3994	4.66E-01	3.96E+02	199.543	4.4158	0.0024	0.00E+00
3107.302	15.76666	-105.00016	27.162	27	21.8473	33.9891	27.3483	0.3983	4.87E-01	3.87E+02	200.184	4.4155	0.0024	0.00E+00
3104.684	15.76666	-105.00016	28.168	28	21.8472	33.989	27.3487	0.3986	4.89E-01	3.68E+02	200.32	4.3887	0.0024	0.00E+00
3103.895	15.76666	-105.00016	29.174	29	21.848	33.9888	27.346	0.3991	4.76E-01	3.40E+02	200.142	3.8717	0.002	0.00E+00
3000.998	15.76666	-105.00016	30.18	30	21.8453	33.984	27.3433	0.3952	4.90E-01	3.18E+02	199.282	1.7054	0.0477	0.00E+00
2913.225	15.76666	-105.00016	31.186	31	21.9077	34.006	27.2001	0.393	5.24E-01	2.92E+02	199.388	0.4455	0.0966	0.00E+00
2910.249	15.76664	-105.00016	32.192	32	21.9395	34.0222	27.1391	0.3941	5.41E-01	2.75E+02	200.745	0.4479	0.0966	0.00E+00
2908.165	15.76664	-105.00016	33.198	33	21.9487	34.0207	27.1069	0.3937	5.18E-01	2.75E+02	201.813	0.4469	0.0966	0.00E+00
2906.19	15.76664	-105.00016	34.204	34	21.9137	34.0034	27.1761	0.3932	5.04E-01	2.58E+02	199.916	0.4485	0.0965	0.00E+00
2903.269	15.76666	-105.00016	35.21	35	21.9973	34.0507	27.0258	0.3944	5.35E-01	2.43E+02	201.85	0.4535	0.0967	0.00E+00
2900.912	15.76666	-105.00016	36.216	36	21.9927	34.0488	27.0358	0.3982	5.80E-01	2.31E+02	202.223	0.4594	0.0967	0.00E+00
2899.324	15.76664	-105.00016	37.222	37	21.9841	34.0469	27.0586	0.3962	5.92E-01	2.20E+02	202.381	0.463	0.0966	0.00E+00
2897.846	15.76664	-105.00016	38.228	38	22.0732	34.1017	26.9084	0.3955	5.60E-01	2.05E+02	202.625	0.4662	0.0966	0.00E+00
2896.412	15.76664	-105.00016	39.235	39	22.0909	34.1114	26.8757	0.3963	5.54E-01	1.95E+02	202.209	0.4359	0.0966	0.00E+00
2893.066	15.76664	-105.00016	40.241	40	22.1598	34.1498	26.75	0.3961	5.82E-01	1.76E+02	203.746	1.1906	0.0966	0.00E+00
2890.266	15.76665	-105.00016	41.247	41	22.2382	34.1865	26.589	0.3971	5.77E-01	1.62E+02	204.341	4.2337	0.0937	0.00E+00
2888.848	15.76664	-105.00016	42.253	42	22.1904	34.1599	26.6772	0.3953	5.67E-01	1.50E+02	203.924	4.3956	0.0066	0.00E+00
2886.642	15.76664	-105.00016	43.259	43	22.1508	34.1375	26.7501	0.3958	6.74E-01	1.41E+02	203.675	4.3954	0.0024	0.00E+00
2883.637	15.76664	-105.00016	44.265	44	22.3543	34.2405	26.349	0.396	6.73E-01	1.30E+02	203.505	4.3945	0.0024	0.00E+00
2881.931	15.76664	-105.00016	45.271	45	22.6468	34.3746	25.735	0.3956	6.12E-01	1.19E+02	204.651	4.3944	0.0024	0.00E+00
2880.353	15.76665	-105.00016	46.277	46	22.6054	34.3574	25.8268	0.3957	5.83E-01	1.09E+02	203.785	4.3944	0.0024	0.00E+00
2877.428	15.76665	-105.00016	47.283	47	22.649	34.3712	25.7199	0.3961	6.79E-01	9.84E+01	204.72	4.3939	0.0024	0.00E+00
2874.27	15.76664	-105.00016	48.29	48	22.6751	34.3734	25.6406	0.3948	6.67E-01	8.72E+01	204.407	4.3932	0.0024	0.00E+00
2872.457	15.76664	-105.00016	49.296	49	22.6932	34.3729	25.5809	0.3974	6.72E-01	8.07E+01	205.291	4.3932	0.0024	0.00E+00
2871.053	15.76664	-105.00016	50.302	50	22.8056	34.3911	25.2594	0.3957	6.95E-01	7.46E+01	205.916	4.3932	0.0024	0.00E+00
2869.59	15.76664	-105.00016	51.308	51	22.963	34.367	24.679	0.3978	7.12E-01	6.85E+01	203.065	4.3929	0.0024	0.00E+00
2867.708	15.76665	-105.00016	52.314	52	22.9844	34.3513	24.5688	0.399	7.12E-01	6.30E+01	195.893	4.3989	0.0024	0.00E+00
2864.895	15.76666	-105.00016	53.32	53	23.014	34.313	24.3728	0.4036	7.35E-01	5.74E+01	193.044	4.1853	0.0024	0.00E+00
2862.24	15.76664	-105.00016	54.327	54	23.0003	34.2832	24.3431	0.4119	7.68E-01	5.27E+01	194.583	2.1864	0.0032	0.00E+00
2860.173	15.76664	-105.00016	55.333	55	22.9679	34.3258	24.5601	0.4185	8.35E-01	4.90E+01	193.542	0.5472	0.022	0.00E+00
2858.363	15.76664	-105.00016	56.339	56	22.927	34.3022	24.637	0.4184	1.00E+00	4.59E+01	203.26	0.4165	0.0966	0.00E+00
2856.738	15.76664	-105.00016	57.345	57	23.1152	34.2635	23.9036	0.4224	1.22E+00	4.33E+01	200.761	0.4093	0.0967	0.00E+00
2855.337	15.76664	-105.00016	58.351	58	23.564	34.2759	22.3785	0.4268	1.44E+00	4.09E+01	183.94	0.4038	0.0966	0.00E+00
2853.965	15.76664	-105.00016	59.358	59	23.8863	34.3058	21.3016	0.4273	1.16E+00	3.86E+01	153.374	0.3871	0.0966	0.00E+00
2851.268	15.76665	-105.00016	60.364	60	23.9736	34.298	20.9552	0.4277	1.91E+00	3.60E+01	143.74	0.3853	0.0967	0.00E+00
2848.328	15.76666	-105.00016	61.37	61	24.0931	34.2732	20.4434	0.4266	2.89E+00	3.31E+01	138.6	0.3722	0.0967	0.00E+00
2846.471	15.76664	-105.00016	62.376	62	24.0161	34.2914	20.7837	0.427	3.31E+00	3.05E+01	141.896	0.375	0.0966	0.00E+00
2844.927	15.76664	-105.00016	63.383	63	24.0937	34.2929	20.4983	0.4229	3.41E+00	2.77E+01	143.206	0.355	0.0967	0.00E+00
2843.382	15.76664	-105.00016	64.389	64	24.2074	34.2753	20.0152	0.414	3.20E+00	2.51E+01	139.572	0.3479	0.0967	0.00E+00
2841.619	15.76664	-105.00016	65.395	65	24.2757	34.1974	19.5268	0.4042	3.21E+00	2.27E+01	133.453	0.3566	0.0966	0.00E+00
2839.45	15.76664	-105.00016	66.401	66	24.1367	34.1822	20.0171	0.4188	3.25E+00	2.04E+01	137.982	0.3509	0.0969	0.00E+00
2837.101	15.76666	-105.00016	67.407	67	24.3959	34.3007	19.3655	0.4131	3.44E+00	1.81E+01	141.601	0.3586	0.0967	0.00E+00
2835.066	15.76665	-105.00016	68.414	68	24.4765	34.2237	18.8198	0.4152	3.18E+00	1.62E+01	129.929	0.3675	0.0967	0.00E+00
2833.325	15.76664	-105.00016	69.42	69	24.5429	34.2749	18.7081	0.406	2.70E+00	1.46E+01	130.341	0.4507	0.0966	0.00E+00
2831.613	15.76664	-105.00016	70.426	70	24.6776	34.2213	18.0036	0.3936	2.48E+00	1.31E+01	118.635	1.2552	0.0962	0.00E+00
2829.902	15.76664	-105.00016	71.433	71	24.5479	34.2114	18.4977	0.3883	2.12E+00	1.18E+01	119.359	3.862	0.0588	0.00E+00
2827.802	15.76664	-105.00016	72.439	72	24.7349	34.2069	17.7227	0.3881	2.09E+00	1.06E+01	115.344	3.83	0.0024	0.00E+00
2825.455	15.76664	-105.00016	73.445	73	24.8999	34.2486	17.1697	0.3886	1.83E+00	9.55E+00	97.552	3.4704	0.0024	0.00E+00
2823.593	15.76664	-105.00016	74.451	74	24.9632	34.265	16.9566	0.3867	2.20E+00	8.60E+00	83.976	3.2655	0.0024	0.00E+00
2821.814	15.76664	-105.00016	75.458	75	24.9521	34.2643	17.0017	0.3867	1.75E+00	7.85E+00	85.463	3.1195	0.0024	0.00E+00
2819.482	15.76664	-105.00016	76.464	76	24.9579	34.2608	16.966	0.3857	1.75E+00	7.21E+00	85.09	2.9643	0.0024	0.00E+00
2817.521	15.76664	-105.00016	77.47	77	24.9996	34.2769	16.8415	0.3855	1.56E+00	6.57E+00	81.406	2.8251	0.0024	0.00E+00
2816.524	15.76664	-105.00016	78.476	78	25.0188	34.2813	16.7741	0.3844	1.44E+00	6.02E+00	77.958	2.7108	0.0024	0.00E+00
2807.004	15.76664	-105.00016	79.483	79	25.0161	34.2805	16.7837	0.3849	1.59E+00	5.67E+00	77.434	2.3266	-0.0002	0.00E+00
2613.778	15.76664	-105.00016	80.489	80	25.4164	34.6124	16.1564	0.3695	9.54E-01	9.34E+00	19.028	0.3479	0.0925	0.00E+00
2610.474	15.76664	-105.00016	81.495	81	25.4498	34.6331	16.0805	0.3683	8.88E-01	8.58E+00	5.18	0.3056	0.0967	0.00E+00
2607.032	15.76664	-105.00016	82.502	82	25.4008	34.6097	16.2163	0.3668	9.69E-01	7.93E+00	9.666	0.3027	0.0967	0.00E+00
2603.969	15.76664	-105.00016	83.508	83	25.4547	34.6322	16.0565	0.3657	1.09E+00	7.22E+00	6.286	0.3053	0.0968	0.00E+00
2601.868	15.76664	-105.00016	84.514	84	25.4989	34.6488	15.9189	0.3677	9.78E-01	6.67E+00	3.54	0.3006	0.0969	0.00E+00
2600.246	15.76664	-105.00016	85.521	85	25.5469	34.667	15.7694	0.365	8.00E-01	6.20E+00	2.529	0.299	0.0967	0.00E+00
2599.022	15.76664	-105.00016	86.527	86	25.5804	34.6764	15.6527	0.3658	7.47E-01	5.78E+00	1.628	0.2982	0.0967	0.00E+00
2597.877	15.76664	-105.00016	87.533	87	25.6525	34.7017	15.4181	0.3659	7.50E-01	5.38E+00	0.922	0.2867	0.097	0.00E+00
2596.441	15.76664	-105.00016	88.54	88	25.7261	34.722	15.1565	0.3674	8.22E-01	5.01E+00	-0.176	0.2954	0.0968	0.00E+00
2594.037	15.76664	-105.00015	89.546	89	25.7428	34.7229	15.0841	0.3675	8.85E-01	4.64E+00	-0.429	0.3053	0.0967	0.00E+00
2591.673	15.76664	-105.00014	90.552	90	25.7848	34.7374	14.9437	0.3689	8.06E-01	4.25E+00	-0.873	0.3004	0.0934	0.00E+00
2589.999	15.76664	-105.00015	91.559	91	25.7324	34.7247	15.1376	0.3712	7.53E-01	3.93E+00	-0.28	0.3002	0.0191	0.00E+00
2588.54	15.76664	-105.00016	92.565	92	25.7021	34.7124	15.2322	0.371	7.97E-01	3.66E+00	-0.234	0.2993	0.0037	0.00E+00
2587.185	15.76664	-105.00016	93.571	93	25.7254	34.7192	15.1507	0.3705	7.05E-01	3.41E+00	-0.109	0.3002	0.0037	0.00E+00
2586.001	15.76664	-105.00016	94.578	94	25.7327	34.7166	15.1085	0.3728	6.58E-01	3.19E+00	-0.568	0.2948	0.0037	0.00E+00
2584.963	15.76664	-105.00016	95.584	95	25.7782	34.7303	14.9493	0.3789	7.40E-01	3.00E+00	-0.697	0.2899	0.0037	0.00E+00
2583.989	15.76664	-105.00016	96.591	96	25.8122	34.7383	14.822	0.3859	8.39E-01	2.81E+00	-0.746	0.2867	0.0037	0.00E+00
2582.972	15.76664	-105.00016	97.597	97	25.8797	34.7508	14.5542	0.3875	1.31E+00	2.64E+00	-0.977	0.289	0.0037	0.00E+00
2581.713	15.76664	-105.00016	98.603	98	25.9126	34.7511	14.402	0.386	1.65E+00	2.46E+00	-1.024	0.2908	0.0037	0.00E+00
2579.558	15.76664	-105.00014	99.61	99	25.9136	34.7527	14.4031	0.3878	1.91E+00	2.27E+00	-0.927	0.292	0.0037	0.00E+00
2577.15	15.76664	-105.00014	100.616	100	25.9172	34.7503	14.3776	0.3886	1.84E+00	2.10E+00	-0.934	0.2926	0.0037	0.00E+00
2575.629	15.76664	-105.00015	101.623	101	25.8827	34.7485	14.5326	0.3892	1.64E+00	1.93E+00	-0.701	0.2922	0.0037	0.00E+00
2574.512	15.76664	-105.00016	102.629	102	25.8814	34.7446	14.5251	0.3897	1.66E+00	1.79E+00	-0.743	0.2913	0.0037	0.00E+00
2573.513	15.76664	-105.00016	103.635	103	25.9051	34.7502	14.4345	0.3893	1.57E+00	1.65E+00	-0.972	0.2912	0.0037	0.00E+00
2572.54	15.76664	-105.00016	104.642	104	25.9464	34.7524	14.2486	0.3885	1.58E+00	1.53E+00	-0.939	0.2892	0.0037	0.00E+00
2571.528	15.76664	-105.00016	105.648	105	25.9867	34.758	14.0789	0.3879	1.54E+00	1.42E+00	-0.967	0.2795	0.0037	0.00E+00
2570.345	15.76664	-105.00016	106.655	106	26.0245	34.7575	13.8967	0.3881	1.54E+00	1.32E+00	-1.043	0.2788	0.0037	0.00E+00
2568.788	15.76664	-105.00014	107.661	107	26.0396	34.7586	13.8288	0.3881	1.71E+00	1.21E+00	-1.027	0.2851	0.0037	0.00E+00
2566.866	15.76664	-105.00014	108.667	108	26.0432	34.7582	13.8103	0.3884	1.85E+00	1.11E+00	-0.973	0.2861	0.0037	0.00E+00
2564.959	15.76664	-105.00016	109.674	109	26.0387	34.7567	13.8257	0.3882	1.62E+00	1.01E+00	-0.998	0.2843	0.0037	0.00E+00
2563.556	15.76664	-105.00016	110.681	110	26.0392	34.7568	13.8245	0.3883	1.41E+00	9.21E-01	-0.881	0.2838	0.0037	0.00E+00
2562.357	15.76664	-105.00016	111.687	111	26.0412	34.7574	13.8171	0.388	1.41E+00	8.47E-01	-0.835	0.2847	0.0037	0.00E+00
2561.12	15.76664	-105.00016	112.693	112	26.0435	34.7585	13.81	0.388	1.46E+00	7.81E-01	-1.105	0.2874	0.0159	0.00E+00
2559.647	15.76664	-105.00016	113.7	113	26.0442	34.7581	13.8056	0.3877	1.48E+00	7.20E-01	-0.876	0.2832	0.0968	0.00E+00
2557.876	15.76664	-105.00016	114.706	114	26.0424	34.7573	13.8113	0.3884	1.53E+00	6.65E-01	-0.937	0.2824	0.0968	0.00E+00
2556.351	15.76664	-105.00016	115.713	115	26.0472	34.7588	13.7939	0.3876	1.35E+00	6.11E-01	-0.913	0.2839	0.0968	0.00E+00
2555.118	15.76664	-105.00016	116.719	116	26.0491	34.7591	13.7857	0.3875	1.32E+00	5.62E-01	-0.939	0.2838	0.0968	0.00E+00
2553.887	15.76664	-105.00016	117.726	117	26.0543	34.7605	13.7662	0.3873	1.30E+00	5.19E-01	-0.902	0.2838	0.0968	0.00E+00
2552.491	15.76664	-105.00016	118.732	118	26.0593	34.7616	13.7464	0.3874	1.29E+00	4.79E-01	-0.998	0.2835	0.0968	0.00E+00
2550.85	15.76664	-105.00016	119.739	119	26.0641	34.7625	13.7269	0.3874	1.25E+00	4.41E-01	-0.881	0.2833	0.097	0.00E+00
2554.282	15.76664	-105.00016	120.745	120	26.0651	34.7632	13.7246	0.3868	1.28E+00	4.12E-01	-1.035	0.284	0.0976	0.00E+00
2436.17	15.76664	-105.00015	121.752	121	26.0747	34.761	13.6703	0.3839	1.32E+00	2.72E-01	-0.859	0.2954	0.0793	0.00E+00
2350.007	15.76664	-105.00014	122.758	122	26.119	34.7667	13.4762	0.3814	1.18E+00	1.76E-01	-0.976	0.2997	0.0037	0.00E+00
2348.105	15.76664	-105.00014	123.765	123	26.1451	34.7678	13.3531	0.3813	1.16E+00	1.65E-01	-1.074	0.3038	0.0037	0.00E+00
2345.527	15.76666	-105.00014	124.771	124	26.1584	34.7738	13.3105	0.381	1.09E+00	1.53E-01	-0.912	0.3042	0.0037	0.00E+00
2343.295	15.76666	-105.00014	125.778	125	26.1757	34.7816	13.2554	0.38	1.16E+00	1.41E-01	-1.008	0.3055	0.0037	0.00E+00
2341.761	15.76666	-105.00014	126.784	126	26.1462	34.7662	13.3418	0.3798	1.13E+00	1.30E-01	-0.941	0.3053	0.0037	0.00E+00
2340.581	15.76666	-105.00014	127.791	127	26.1398	34.761	13.3536	0.38	9.78E-01	1.21E-01	-0.763	0.3045	0.0037	0.00E+00
2339.601	15.76664	-105.00014	128.797	128	26.1429	34.7656	13.3561	0.3799	9.49E-01	1.14E-01	-0.865	0.3042	0.0036	0.00E+00
2338.748	15.76664	-105.00014	129.804	129	26.1439	34.7654	13.3506	0.3793	9.06E-01	1.07E-01	-1.084	0.3039	0.0037	0.00E+00
2337.958	15.76664	-105.00014	130.81	130	26.1496	34.7681	13.3327	0.3785	8.55E-01	1.00E-01	-0.922	0.3033	0.0037	0.00E+00
2337.173	15.76664	-105.00014	131.817	131	26.166	34.7759	13.282	0.3771	8.04E-01	9.47E-02	-0.861	0.3036	0.0037	0.00E+00
2336.345	15.76664	-105.00016	132.823	132	26.1814	34.7835	13.2352	0.378	7.77E-01	8.98E-02	-0.985	0.3033	0.0037	0.00E+00
2335.456	15.76664	-105.00015	133.83	133	26.1962	34.7896	13.1854	0.3768	7.57E-01	8.51E-02	-1.05	0.3028	0.0037	0.00E+00
2334.517	15.76664	-105.00014	134.836	134	26.1995	34.7898	13.1703	0.3767	7.54E-01	8.08E-02	-0.943	0.3022	0.0037	0.00E+00
2333.563	15.76664	-105.00014	135.843	135	26.1996	34.7896	13.1694	0.3758	7.47E-01	7.67E-02	-0.831	0.3022	0.0037	0.00E+00
2332.57	15.76664	-105.00014	136.85	136	26.2072	34.7911	13.137	0.3741	7.36E-01	7.29E-02	-0.982	0.3012	0.0037	0.00E+00
2331.487	15.76665	-105.00014	137.857	137	26.2166	34.7935	13.1002	0.3739	6.88E-01	6.95E-02	-0.881	0.3031	0.0037	0.00E+00
2330.265	15.76666	-105.00014	138.863	138	26.2388	34.8	13.0144	0.3745	6.81E-01	6.61E-02	-1.069	0.3026	0.0037	0.00E+00
2329.018	15.76665	-105.00014	139.869	139	26.231	34.7975	13.0441	0.3743	6.81E-01	6.30E-02	-0.964	0.3025	0.0037	0.00E+00
2327.889	15.76664	-105.00014	140.876	140	26.2236	34.7947	13.0702	0.3736	6.41E-01	6.01E-02	-0.88	0.3024	0.0037	0.00E+00
2326.85	15.76664	-105.00014	141.882	141	26.2287	34.796	13.0501	0.3734	6.34E-01	5.75E-02	-0.99	0.3021	0.0037	0.00E+00
2325.886	15.76664	-105.00014	142.89	142	26.233	34.7973	13.0337	0.3732	6.17E-01	5.50E-02	-0.887	0.3021	0.0037	0.00E+00
2324.96	15.76664	-105.00014	143.896	143	26.2338	34.7969	13.0283	0.3728	5.91E-01	5.29E-02	-0.888	0.3019	0.0037	0.00E+00
2324.04	15.76664	-105.00014	144.903	144	26.2373	34.7978	13.0145	0.3729	5.83E-01	5.09E-02	-0.949	0.3013	0.0037	0.00E+00
2323.112	15.76664	-105.00014	145.909	145	26.2426	34.7989	12.9925	0.3725	5.67E-01	4.91E-02	-0.907	0.3034	0.0037	0.00E+00
2322.164	15.76664	-105.00014	146.916	146	26.2475	34.7998	12.9717	0.3724	5.59E-01	4.75E-02	-0.99	0.3052	0.0039	0.00E+00
2321.188	15.76664	-105.00014	147.922	147	26.2501	34.7993	12.9569	0.3724	5.53E-01	4.59E-02	-0.927	0.3028	0.0742	0.00E+00
2320.226	15.76664	-105.00014	148.929	148	26.2507	34.799	12.9527	0.3724	5.59E-01	4.44E-02	-0.915	0.3015	0.0969	0.00E+00
2319.282	15.76664	-105.00014	149.936	149	26.2533	34.7991	12.9403	0.3724	5.56E-01	4.30E-02	-0.906	0.3006	0.0969	0.00E+00
2318.334	15.76664	-105.00014	150.943	150	26.2559	34.7985	12.9251	0.3721	5.44E-01	4.18E-02	-0.991	0.3012	0.0969	0.00E+00
2317.34	15.76664	-105.00014	151.949	151	26.261	34.7989	12.9012	0.3719	5.40E-01	4.06E-02	-0.926	0.3004	0.0969	0.00E+00
2316.236	15.76664	-105.00014	152.956	152	26.2654	34.7985	12.8776	0.372	5.35E-01	3.96E-02	-0.941	0.3007	0.0968	0.00E+00
2315.048	15.76664	-105.00014	153.962	153	26.2696	34.7969	12.8503	0.3716	5.37E-01	3.86E-02	-0.874	0.3014	0.0969	0.00E+00
2313.904	15.76664	-105.00014	154.969	154	26.2663	34.7973	12.8691	0.3721	5.27E-01	3.75E-02	-0.921	0.3015	0.0967	0.00E+00
2312.903	15.76664	-105.00014	155.976	155	26.2671	34.7981	12.8681	0.3722	5.18E-01	3.66E-02	-0.96	0.3005	0.0969	0.00E+00
2312.018	15.76664	-105.00014	156.983	156	26.2695	34.7973	12.8529	0.372	5.11E-01	3.57E-02	-0.977	0.3006	0.0973	0.00E+00
2311.193	15.76664	-105.00014	157.989	157	26.2711	34.7957	12.8388	0.3723	5.05E-01	3.51E-02	-0.904	0.3017	0.0968	0.00E+00
2310.376	15.76664	-105.00014	158.996	158	26.2734	34.7958	12.8278	0.372	5.01E-01	3.43E-02	-1.004	0.3008	0.0971	0.00E+00
2309.509	15.76664	-105.00014	160.003	159	26.2757	34.794	12.8092	0.3719	4.97E-01	3.34E-02	-1.002	0.3005	0.0968	0.00E+00
2308.517	15.76664	-105.00014	161.009	160	26.2818	34.795	12.7824	0.3724	4.95E-01	3.32E-02	-0.922	0.3004	0.0967	0.00E+00
2307.314	15.76664	-105.00014	162.016	161	26.2839	34.792	12.7601	0.3722	5.04E-01	3.25E-02	-1.048	0.3015	0.0968	0.00E+00
2305.992	15.76664	-105.00014	163.023	162	26.281	34.7917	12.7739	0.3725	5.10E-01	3.19E-02	-0.815	0.3017	0.0967	0.00E+00
2304.784	15.76664	-105.00014	164.029	163	26.2797	34.7917	12.7808	0.3722	5.05E-01	3.14E-02	-0.988	0.3015	0.0968	0.00E+00
2303.752	15.76664	-105.00014	165.036	164	26.28	34.7919	12.7802	0.3722	4.89E-01	3.08E-02	-1.065	0.3012	0.0966	0.00E+00
2302.841	15.76664	-105.00014	166.043	165	26.2791	34.7915	12.7829	0.3725	4.94E-01	3.03E-02	-0.835	0.3013	0.0967	0.00E+00
2301.99	15.76664	-105.00014	167.05	166	26.2794	34.7914	12.7813	0.3723	4.90E-01	2.97E-02	-0.904	0.3015	0.0967	0.00E+00
2301.139	15.76664	-105.00014	168.056	167	26.2802	34.7904	12.7737	0.3725	4.86E-01	2.93E-02	-0.944	0.3001	0.0969	0.00E+00
2300.241	15.76664	-105.00014	169.063	168	26.2848	34.7901	12.7489	0.3732	4.78E-01	2.89E-02	-0.901	0.3013	0.097	0.00E+00
2299.261	15.76664	-105.00014	170.07	169	26.2922	34.7884	12.7053	0.3728	4.76E-01	2.88E-02	-1.038	0.3009	0.0968	0.00E+00
2298.177	15.76664	-105.00014	171.076	170	26.2936	34.7879	12.6962	0.3725	4.69E-01	2.83E-02	-0.945	0.2999	0.0967	0.00E+00
2297.072	15.76664	-105.00014	172.083	171	26.2955	34.7882	12.6882	0.3719	4.63E-01	2.81E-02	-0.951	0.3003	0.0966	0.00E+00
2296.036	15.76664	-105.00014	173.09	172	26.3002	34.7875	12.6613	0.3714	4.45E-01	2.78E-02	-0.822	0.2994	0.0969	0.00E+00
2295.072	15.76664	-105.00014	174.097	173	26.3054	34.7862	12.6301	0.3713	4.31E-01	2.74E-02	-1.061	0.299	0.0969	0.00E+00
2294.127	15.76664	-105.00014	175.104	174	26.309	34.7861	12.6113	0.3713	4.21E-01	2.73E-02	-0.966	0.3	0.0967	0.00E+00
2293.174	15.76664	-105.00014	176.11	175	26.3113	34.7857	12.5981	0.3704	4.14E-01	2.68E-02	-0.941	0.2986	0.0969	0.00E+00
2292.227	15.76664	-105.00014	177.117	176	26.3152	34.7858	12.5789	0.3705	4.08E-01	2.67E-02	-0.918	0.2958	0.0967	0.00E+00
2291.272	15.76664	-105.00014	178.124	177	26.3226	34.7846	12.5361	0.3706	3.91E-01	2.66E-02	-0.908	0.2988	0.0219	0.00E+00
2290.276	15.76664	-105.00014	179.131	178	26.3252	34.7832	12.5181	0.3706	4.01E-01	2.64E-02	-1.086	0.3007	0.0036	0.00E+00
2289.217	15.76664	-105.00014	180.138	179	26.3272	34.7829	12.5066	0.3704	3.86E-01	2.60E-02	-0.916	0.2994	0.0037	0.00E+00
2288.112	15.76664	-105.00014	181.144	180	26.3348	34.7831	12.4682	0.3702	3.81E-01	2.60E-02	-0.979	0.2989	0.0036	0.00E+00
