	lat	long	pressure	depth (m)	sigmat	Salinity	temp				oxygen (uM)	oxygen (ml/L)		
565.516	17.68332	-102.35006	119.751	119	26.2265	34.8298	13.1878	0.3971	3.79E-01	3.98E-02	-0.343	0.204	0.0037	0.00E+00
566.62	17.68332	-102.35006	118.744	118	26.2217	34.8287	13.2068	0.3964	3.86E-01	4.09E-02	-0.517	0.2027	0.0037	0.00E+00
567.761	17.68332	-102.35006	117.737	117	26.225	34.8288	13.1915	0.3963	3.92E-01	4.20E-02	-0.431	0.2084	0.0037	0.00E+00
568.79	17.68332	-102.35006	116.73	116	26.2226	34.8305	13.2098	0.3966	3.94E-01	4.31E-02	-0.54	0.2015	0.0037	0.00E+00
569.838	17.68332	-102.35006	115.724	115	26.2143	34.8297	13.2469	0.397	4.07E-01	4.45E-02	-0.513	0.2026	0.0037	0.00E+00
571.17	17.68332	-102.35006	114.717	114	26.209	34.8269	13.263	0.3973	4.24E-01	4.58E-02	-0.46	0.211	0.0037	0.00E+00
572.458	17.68332	-102.35006	113.71	113	26.2031	34.8299	13.3029	0.3974	4.31E-01	4.72E-02	-0.567	0.1973	0.0037	0.00E+00
573.345	17.68332	-102.35006	112.704	112	26.1879	34.8276	13.3682	0.3972	4.49E-01	4.85E-02	-0.583	0.2186	0.0037	0.00E+00
574.082	17.68332	-102.35006	111.698	111	26.1801	34.8274	13.4061	0.398	4.61E-01	5.01E-02	-0.475	0.2143	0.0037	0.00E+00
574.819	17.68332	-102.35006	110.691	110	26.169	34.8255	13.453	0.3988	4.90E-01	5.17E-02	-0.523	0.2079	0.0037	0.00E+00
575.803	17.68332	-102.35006	109.685	109	26.1711	34.8264	13.4462	0.3987	5.07E-01	5.38E-02	-0.448	0.2064	0.0037	0.00E+00
577.267	17.68332	-102.35006	108.678	108	26.1813	34.829	13.4057	0.3988	5.05E-01	5.60E-02	-0.428	0.2017	0.0037	0.00E+00
578.795	17.68332	-102.35006	107.672	107	26.1878	34.83	13.3778	0.3985	5.10E-01	5.82E-02	-0.552	0.202	0.0037	0.00E+00
580.14	17.68332	-102.35006	106.665	106	26.1809	34.8306	13.4136	0.3986	5.21E-01	6.08E-02	-0.58	0.2001	0.0037	0.00E+00
581.64	17.68332	-102.35006	105.658	105	26.1735	34.8282	13.4407	0.3996	5.61E-01	6.38E-02	-0.525	0.2013	0.0037	0.00E+00
583.086	17.68332	-102.35006	104.652	104	26.1351	34.821	13.5999	0.3988	6.15E-01	6.70E-02	-0.537	0.2104	0.0037	0.00E+00
584.535	17.68332	-102.35006	103.645	103	26.138	34.8228	13.5922	0.3996	6.60E-01	7.06E-02	-0.52	0.2145	0.0037	0.00E+00
586.83	17.68332	-102.35006	102.639	102	26.1353	34.8247	13.6127	0.4008	6.48E-01	7.44E-02	-0.544	0.1975	0.0037	0.00E+00
589.332	17.68332	-102.35006	101.632	101	26.0836	34.815	13.8257	0.4029	5.88E-01	7.82E-02	-0.506	0.1951	0.0383	0.00E+00
590.808	17.68332	-102.35006	100.626	100	26.0898	34.8147	13.7941	0.4038	8.57E-01	8.31E-02	-0.518	0.2152	0.0929	0.00E+00
656.498	17.68332	-102.35006	99.619	99	26.0326	34.8028	14.0246	0.4117	1.61E+00	9.04E-02	-0.535	0.1937	0.097	0.00E+00
652.869	17.68332	-102.35006	98.613	98	26.0327	34.8029	14.0241	0.4127	1.43E+00	9.55E-02	-0.553	0.1972	0.0969	0.00E+00
654.5	17.68332	-102.35006	97.607	97	26.027	34.8017	14.0464	0.4127	1.85E+00	1.02E-01	-0.527	0.1978	0.097	0.00E+00
657.555	17.68332	-102.35006	96.6	96	26.0291	34.8036	14.0436	0.4132	2.06E+00	1.10E-01	-0.538	0.1941	0.0968	0.00E+00
660.527	17.68332	-102.35004	95.594	95	26.02	34.8004	14.0748	0.4143	1.67E+00	1.18E-01	-0.56	0.1913	0.0968	0.00E+00
661.969	17.68332	-102.35004	94.587	94	26.0203	34.8007	14.0745	0.4148	1.83E+00	1.27E-01	-0.532	0.1957	0.0969	0.00E+00
664.109	17.68332	-102.35005	93.58	93	26.0112	34.7992	14.1116	0.4135	2.28E+00	1.36E-01	-0.561	0.1959	0.0968	0.00E+00
667.532	17.68332	-102.35004	92.574	92	26.014	34.8002	14.1022	0.4152	2.23E+00	1.47E-01	-0.533	0.1931	0.0969	0.00E+00
672.026	17.68332	-102.35004	91.568	91	26.007	34.7992	14.1313	0.4167	1.94E+00	1.60E-01	-0.586	0.1917	0.0969	0.00E+00
679.445	17.68332	-102.35004	90.561	90	25.988	34.7966	14.2121	0.4194	2.14E+00	1.73E-01	-0.528	0.1911	0.0697	0.00E+00
727.923	17.68332	-102.35004	89.555	89	25.9698	34.7966	14.2974	0.4258	2.37E+00	1.91E-01	-0.602	0.187	0.0902	0.00E+00
732.526	17.68332	-102.35004	88.548	88	25.9695	34.7965	14.2981	0.426	2.10E+00	2.06E-01	-0.624	0.1896	0.0968	0.00E+00
735.073	17.68334	-102.35004	87.542	87	25.9646	34.796	14.319	0.4263	2.58E+00	2.26E-01	-0.672	0.1876	0.0968	0.00E+00
737.317	17.68333	-102.35004	86.536	86	25.9622	34.7961	14.3312	0.4263	2.29E+00	2.49E-01	-0.656	0.1867	0.097	0.00E+00
739.445	17.68332	-102.35004	85.529	85	25.9477	34.7945	14.3928	0.4279	2.75E+00	2.78E-01	-0.704	0.192	0.031	0.00E+00
741.554	17.68332	-102.35004	84.522	84	25.9283	34.7922	14.4754	0.4289	2.57E+00	3.04E-01	-0.629	0.2026	0.0035	0.00E+00
743.286	17.68332	-102.35004	83.516	83	25.9223	34.7946	14.5115	0.4302	2.60E+00	3.31E-01	-0.702	0.1977	0.0037	0.00E+00
745.704	17.68332	-102.35004	82.51	82	25.8707	34.7863	14.7216	0.4341	3.06E+00	3.61E-01	-0.477	0.1876	0.0037	0.00E+00
751.464	17.68332	-102.35004	81.503	81	25.8399	34.7816	14.845	0.4418	3.17E+00	3.99E-01	-0.451	0.1942	0.0037	0.00E+00
758.33	17.68332	-102.35004	80.497	80	25.8083	34.7792	14.982	0.4376	3.21E+00	4.40E-01	-0.494	0.1941	0.0037	0.00E+00
821.38	17.68331	-102.35005	79.491	79	25.7975	34.7807	15.0363	0.4358	2.77E+00	4.82E-01	-0.535	0.1846	0.0682	0.00E+00
846.975	17.6833	-102.35006	78.484	78	25.794	34.7809	15.053	0.4354	2.39E+00	5.30E-01	-0.475	0.1816	0.0972	0.00E+00
848.683	17.6833	-102.35006	77.478	77	25.7908	34.7805	15.0661	0.4351	2.61E+00	5.80E-01	-0.511	0.1827	0.0968	0.00E+00
851.57	17.6833	-102.35006	76.471	76	25.7886	34.7803	15.0754	0.4346	3.22E+00	6.37E-01	-0.475	0.1819	0.097	0.00E+00
858.843	17.6833	-102.35006	75.465	75	25.7839	34.7793	15.0926	0.4328	3.08E+00	6.92E-01	-0.458	0.1834	0.0858	0.00E+00
936.843	17.6833	-102.35006	74.458	74	25.7572	34.7754	15.1998	0.4314	2.44E+00	7.73E-01	-0.428	0.1921	0.0688	0.00E+00
953.332	17.6833	-102.35006	73.452	73	25.7529	34.7746	15.2166	0.4298	2.38E+00	8.49E-01	-0.457	0.1818	0.0974	0.00E+00
954.586	17.6833	-102.35006	72.446	72	25.7502	34.7734	15.2245	0.4265	2.38E+00	9.12E-01	-0.467	0.1813	0.097	0.00E+00
956.492	17.6833	-102.35006	71.439	71	25.7389	34.7721	15.2708	0.4257	3.18E+00	9.72E-01	0.139	0.1797	0.0969	0.00E+00
962.614	17.6833	-102.35006	70.433	70	25.7067	34.7677	15.3996	0.4115	1.94E+00	1.05E+00	-0.646	0.1778	0.0969	0.00E+00
1069.17	17.6833	-102.35006	69.427	69	25.6526	34.7594	15.6126	0.3895	1.01E+00	1.19E+00	-0.343	0.18	0.0663	0.00E+00
1185.004	17.6833	-102.35006	68.42	68	25.6262	34.7551	15.7154	0.3901	8.27E-01	1.35E+00	-0.314	0.2019	0.0028	0.00E+00
1223.944	17.68331	-102.35006	67.414	67	25.594	34.7493	15.838	0.3872	9.02E-01	1.45E+00	-0.329	0.1729	0.0696	0.00E+00
1270.382	17.68331	-102.35006	66.408	66	25.5777	34.7473	15.9026	0.3874	9.04E-01	1.59E+00	-0.325	0.1712	0.0454	0.00E+00
1326.228	17.68331	-102.35007	65.401	65	25.5669	34.7453	15.9437	0.3872	8.87E-01	1.72E+00	-0.298	0.1929	0.0149	0.00E+00
1366.778	17.6833	-102.35006	64.395	64	25.5584	34.7432	15.9738	0.3914	9.85E-01	1.86E+00	0.134	0.1791	0.0412	0.00E+00
1528.733	17.68332	-102.35006	63.389	63	25.5345	34.7378	16.0597	0.3865	8.54E-01	2.04E+00	-0.04	0.1632	0.0043	0.00E+00
1526.732	17.68332	-102.35006	62.382	62	25.5321	34.7376	16.0695	0.3875	8.25E-01	2.22E+00	-0.383	0.1832	0.0035	0.00E+00
1528.137	17.68332	-102.35006	61.376	61	25.5247	34.7346	16.0919	0.3871	7.93E-01	2.37E+00	0.043	0.1954	0.0037	0.00E+00
1537.924	17.68331	-102.35006	60.37	60	25.508	34.7299	16.1485	0.3898	9.54E-01	2.61E+00	0.293	0.1868	0.0218	0.00E+00
1633.677	17.6833	-102.35005	59.363	59	25.4812	34.7231	16.2422	0.3935	9.46E-01	2.99E+00	0.533	0.2204	0.0445	0.00E+00
1660.337	17.6833	-102.35004	58.357	58	25.4754	34.7218	16.2629	0.4011	1.16E+00	3.26E+00	0.743	0.2576	-0.0007	0.00E+00
1745.909	17.6833	-102.35005	57.351	57	25.4359	34.7105	16.3959	0.401	1.43E+00	3.70E+00	1.753	0.2596	0.0259	0.00E+00
1779.957	17.68329	-102.35006	56.344	56	25.4187	34.7063	16.4557	0.4006	1.66E+00	4.14E+00	1.27	0.2999	0.0037	0.00E+00
1782.363	17.6833	-102.35006	55.338	55	25.3859	34.6973	16.567	0.4114	1.74E+00	4.47E+00	2.019	0.3109	0.0037	0.00E+00
1784.471	17.6833	-102.35006	54.332	54	25.4049	34.7034	16.5053	0.4092	2.19E+00	4.85E+00	1.515	0.3115	0.0158	0.00E+00
1787.409	17.6833	-102.35006	53.326	53	25.3956	34.7007	16.5362	0.4099	2.25E+00	5.42E+00	2.116	0.2727	0.1051	0.00E+00
