				depth		Salinity	Temp 							
604.74	10.00002	-112.99996	212.307	211	26.5352	34.7451	11.2559	0.3309	3.35E-01	1.00E-12	3.095	0.7621	0.1044	0.00E+00
605.447	10.00002	-112.99996	211.302	210	26.527	34.7481	11.3138	0.3308	3.33E-01	1.00E-12	3.425	0.7626	0.1045	0.00E+00
606.205	10.00002	-112.99996	210.303	209	26.522	34.7484	11.3419	0.3314	3.33E-01	1.00E-12	3.645	0.7636	0.1045	0.00E+00
607.072	10.00002	-112.99996	209.291	208	26.5221	34.7486	11.3421	0.3319	3.37E-01	1.00E-12	3.519	0.7639	0.1044	0.00E+00
608.032	10.00002	-112.99996	208.281	207	26.5271	34.7505	11.3229	0.3311	3.38E-01	1.00E-12	3.511	0.7639	0.1046	0.00E+00
608.983	10.00002	-112.99996	207.273	206	26.5286	34.7475	11.3022	0.3313	3.33E-01	1.00E-12	3.243	0.764	0.1044	0.00E+00
609.902	10.00002	-112.99996	206.27	205	26.5272	34.748	11.3113	0.3318	3.37E-01	1.00E-12	3.215	0.7645	0.1046	0.00E+00
610.842	10.00002	-112.99996	205.264	204	26.5176	34.7519	11.38	0.3317	3.38E-01	1.00E-12	3.598	0.764	0.1046	0.00E+00
611.876	10.00002	-112.99996	204.258	203	26.5117	34.7539	11.4204	0.3316	3.35E-01	1.00E-12	3.541	0.7643	0.1044	0.00E+00
613.142	10.00004	-112.99996	203.255	202	26.5145	34.7515	11.3948	0.3318	3.39E-01	1.00E-12	3.337	0.7639	0.1045	0.00E+00
614.788	10.00004	-112.99996	202.236	201	26.5261	34.7515	11.3318	0.3316	3.37E-01	1.00E-12	3.262	0.7635	0.1045	0.00E+00
616.013	10.00004	-112.99996	201.226	200	26.5209	34.7558	11.3782	0.331	3.30E-01	1.00E-12	3.092	0.7637	0.1044	0.00E+00
616.843	10.00004	-112.99996	200.224	199	26.5012	34.7544	11.4787	0.3315	3.38E-01	1.00E-12	2.992	0.7661	0.1043	0.00E+00
617.6	10.00004	-112.99996	199.227	198	26.4953	34.7545	11.5106	0.3311	3.38E-01	1.00E-12	2.814	0.7649	0.1043	0.00E+00
618.422	10.00004	-112.99996	198.218	197	26.4958	34.7551	11.5104	0.3311	3.37E-01	1.00E-12	2.911	0.7649	0.0995	0.00E+00
619.348	10.00003	-112.99996	197.211	196	26.4955	34.756	11.5154	0.3313	3.35E-01	1.00E-12	2.97	0.7685	0.0039	0.00E+00
620.346	10.00002	-112.99996	196.199	195	26.4959	34.7563	11.5147	0.3315	3.30E-01	1.00E-12	2.714	0.7663	0.0011	0.00E+00
621.278	10.00002	-112.99996	195.192	194	26.4986	34.7574	11.5048	0.331	3.39E-01	1.00E-12	2.815	0.7743	0.0012	0.00E+00
622.115	10.00003	-112.99996	194.187	193	26.4952	34.7581	11.5258	0.3309	3.38E-01	1.00E-12	3.161	0.7838	0.0012	0.00E+00
622.946	10.00004	-112.99996	193.186	192	26.4919	34.7587	11.546	0.3314	3.40E-01	1.00E-12	3.376	0.7947	0.0011	0.00E+00
623.862	10.00004	-112.99996	192.177	191	26.4905	34.7591	11.5553	0.3315	3.29E-01	1.00E-12	3.293	0.8068	0.0012	0.00E+00
624.896	10.00004	-112.99996	191.17	190	26.4884	34.76	11.5701	0.3312	3.35E-01	1.00E-12	3.248	0.8175	0.0012	0.00E+00
626.052	10.00004	-112.99996	190.164	189	26.4872	34.7595	11.574	0.3309	3.32E-01	1.00E-12	3.396	0.8293	0.0012	0.00E+00
627.237	10.00004	-112.99996	189.156	188	26.4975	34.7642	11.5387	0.3316	3.35E-01	1.00E-12	3.15	0.8399	0.0012	0.00E+00
628.401	10.00004	-112.99996	188.148	187	26.4919	34.761	11.555	0.3317	3.33E-01	1.00E-12	3.342	0.848	0.0012	0.00E+00
629.582	10.00004	-112.99998	187.142	186	26.4884	34.7617	11.5767	0.3318	3.37E-01	1.00E-12	3.463	0.8568	0.0011	0.00E+00
630.747	10.00004	-112.99998	186.133	185	26.4849	34.7626	11.5986	0.3318	3.37E-01	1.00E-12	3.634	0.8665	0.0012	0.00E+00
631.749	10.00004	-112.99998	185.125	184	26.4827	34.7626	11.6106	0.3316	3.32E-01	1.00E-12	3.769	0.8707	0.0012	0.00E+00
632.61	10.00004	-112.99997	184.118	183	26.4805	34.7637	11.6269	0.331	3.36E-01	1.00E-12	3.563	0.874	0.0012	0.00E+00
633.395	10.00004	-112.99996	183.116	182	26.4771	34.7646	11.6486	0.3317	3.32E-01	1.00E-12	3.465	0.878	0.0012	0.00E+00
634.149	10.00004	-112.99996	182.106	181	26.4739	34.7655	11.6689	0.3318	3.35E-01	1.00E-12	3.514	0.881	0.0011	0.00E+00
634.883	10.00004	-112.99996	181.104	180	26.4729	34.7656	11.6747	0.3314	3.29E-01	1.00E-12	3.554	0.8833	0.0011	0.00E+00
635.642	10.00004	-112.99996	180.099	179	26.4709	34.7673	11.6928	0.3317	3.32E-01	1.00E-12	3.497	0.8858	0.0012	0.00E+00
636.49	10.00004	-112.99996	179.099	178	26.4714	34.7659	11.6836	0.3318	3.33E-01	1.00E-12	3.392	0.8887	0.0012	0.00E+00
637.696	10.00004	-112.99996	178.089	177	26.476	34.7659	11.6591	0.3319	3.37E-01	1.00E-12	3.57	0.8909	0.0011	0.00E+00
639.43	10.00004	-112.99996	177.072	176	26.4766	34.7658	11.6557	0.3323	3.34E-01	1.00E-12	3.567	0.8909	0.0011	0.00E+00
640.71	10.00004	-112.99996	176.066	175	26.4787	34.7667	11.6481	0.3321	3.32E-01	1.00E-12	3.473	0.8926	0.0012	0.00E+00
641.688	10.00004	-112.99996	175.064	174	26.4694	34.769	11.7069	0.3318	3.34E-01	1.00E-12	3.284	0.8907	0.0011	0.00E+00
642.705	10.00004	-112.99997	174.057	173	26.4562	34.7695	11.7789	0.3313	3.36E-01	1.00E-12	3.361	0.8921	0.0011	0.00E+00
643.728	10.00004	-112.99998	173.045	172	26.4553	34.7718	11.7936	0.3316	3.32E-01	1.00E-12	3.416	0.8907	0.0012	0.00E+00
644.613	10.00004	-112.99998	172.04	171	26.4523	34.7721	11.8107	0.3317	3.37E-01	1.00E-12	3.43	0.8927	0.0012	0.00E+00
645.423	10.00004	-112.99998	171.041	170	26.4474	34.7735	11.8422	0.3312	3.32E-01	1.00E-12	3.43	0.8931	0.0011	0.00E+00
646.251	10.00004	-112.99997	170.033	169	26.4437	34.774	11.8634	0.331	3.36E-01	1.00E-12	3.426	0.8935	0.0012	0.00E+00
647.13	10.00004	-112.99996	169.026	168	26.443	34.7746	11.8695	0.3313	3.38E-01	1.00E-12	3.442	0.8951	0.0012	0.00E+00
648.014	10.00004	-112.99996	168.013	167	26.4434	34.7758	11.872	0.3318	3.32E-01	1.00E-12	3.379	0.8956	0.0012	0.00E+00
648.821	10.00004	-112.99996	167.009	166	26.4422	34.7757	11.8779	0.3316	3.30E-01	1.00E-12	3.378	0.8895	0.0599	0.00E+00
649.603	10.00004	-112.99996	166.011	165	26.4396	34.7763	11.8939	0.3312	3.33E-01	1.00E-12	3.443	0.8654	0.1044	0.00E+00
650.533	10.00004	-112.99996	165.007	164	26.4392	34.7762	11.8957	0.3315	3.46E-01	1.00E-12	3.349	0.8068	0.1044	0.00E+00
652.146	10.00004	-112.99997	163.992	163	26.4474	34.7756	11.8495	0.3314	3.36E-01	1.00E-12	3.311	0.7697	0.1046	0.00E+00
653.907	10.00004	-112.99998	162.977	162	26.4431	34.7748	11.8689	0.3314	3.32E-01	1.00E-12	2.949	0.7573	0.1045	0.00E+00
654.884	10.00004	-112.99998	161.975	161	26.4404	34.7768	11.8911	0.3382	3.35E-01	1.00E-12	2.967	0.7598	0.1046	0.00E+00
655.743	10.00004	-112.99998	160.974	160	26.4338	34.777	11.9269	0.3349	3.37E-01	1.00E-12	2.502	0.7586	0.1045	0.00E+00
656.642	10.00004	-112.99996	159.969	159	26.4299	34.7776	11.95	0.331	3.33E-01	1.00E-12	2.235	0.7579	0.1046	0.00E+00
657.637	10.00004	-112.99996	158.96	158	26.4267	34.7772	11.9648	0.331	3.33E-01	1.00E-12	2.107	0.7579	0.1046	0.00E+00
658.621	10.00004	-112.99997	157.946	157	26.4256	34.7782	11.9746	0.3308	3.30E-01	1.00E-12	2.096	0.758	0.1045	0.00E+00
659.448	10.00004	-112.99998	156.941	156	26.4263	34.778	11.9702	0.3309	3.35E-01	1.00E-12	1.91	0.7564	0.1047	0.00E+00
660.187	10.00004	-112.99996	155.942	155	26.4218	34.7793	11.9986	0.3308	3.33E-01	1.00E-12	1.896	0.7557	0.1045	0.00E+00
660.958	10.00004	-112.99996	154.935	154	26.417	34.7795	12.0249	0.3308	3.36E-01	1.00E-12	1.86	0.7567	0.1045	0.00E+00
661.89	10.00004	-112.99996	153.936	153	26.414	34.7791	12.0388	0.3309	3.33E-01	1.00E-12	1.676	0.7559	0.1046	0.00E+00
663.158	10.00004	-112.99996	152.922	152	26.4187	34.7804	12.019	0.3309	3.35E-01	1.00E-12	1.692	0.7557	0.1047	0.00E+00
664.494	10.00004	-112.99996	151.91	151	26.4209	34.7798	12.005	0.3309	3.38E-01	1.00E-12	1.93	0.756	0.1045	0.00E+00
665.547	10.00004	-112.99998	150.904	150	26.4182	34.7819	12.0274	0.3307	3.32E-01	1.00E-12	1.565	0.7562	0.1046	0.00E+00
666.509	10.00004	-112.99998	149.904	149	26.4066	34.7833	12.0938	0.331	3.33E-01	1.00E-12	1.123	0.7568	0.1045	0.00E+00
667.519	10.00004	-112.99998	148.895	148	26.3921	34.7824	12.1653	0.3308	3.30E-01	6.39E-05	0.696	0.7568	0.1045	0.00E+00
668.513	10.00004	-112.99998	147.884	147	26.3907	34.7831	12.1757	0.3302	3.31E-01	1.23E-03	0.536	0.757	0.1047	0.00E+00
669.409	10.00004	-112.99998	146.882	146	26.3887	34.7842	12.1899	0.3362	3.31E-01	4.53E-03	0.575	0.757	0.1049	0.00E+00
670.281	10.00004	-112.99998	145.875	145	26.3845	34.7856	12.2171	0.3316	3.33E-01	5.55E-03	0.618	0.7579	0.1046	0.00E+00
671.197	10.00004	-112.99997	144.876	144	26.3764	34.7871	12.2658	0.3308	3.31E-01	7.77E-03	0.528	0.7587	0.1046	0.00E+00
672.297	10.00004	-112.99996	143.867	143	26.3749	34.7901	12.2852	0.331	3.32E-01	6.84E-03	0.524	0.7595	0.1045	0.00E+00
673.596	10.00004	-112.99996	142.854	142	26.3618	34.7856	12.335	0.3313	3.35E-01	6.32E-03	0.296	0.7585	0.1045	0.00E+00
674.672	10.00004	-112.99996	141.845	141	26.375	34.7883	12.2769	0.3313	3.31E-01	7.13E-03	0.314	0.7592	0.1045	0.00E+00
675.551	10.00004	-112.99996	140.842	140	26.3578	34.7925	12.3826	0.3318	3.38E-01	1.06E-02	0.184	0.7551	0.1047	0.00E+00
676.385	10.00004	-112.99996	139.841	139	26.3414	34.7896	12.4551	0.333	3.38E-01	1.48E-02	-0.087	0.7594	0.1049	0.00E+00
677.283	10.00004	-112.99998	138.833	138	26.34	34.79	12.4641	0.3332	3.47E-01	1.78E-02	-0.097	0.7619	0.1047	0.00E+00
678.312	10.00004	-112.99998	137.828	137	26.3415	34.7907	12.4585	0.3335	3.46E-01	2.01E-02	0.02	0.7607	0.0855	0.00E+00
679.503	10.00004	-112.99996	136.817	136	26.3523	34.7964	12.4261	0.3331	3.52E-01	1.93E-02	0.183	0.7677	-0.0005	0.00E+00
680.593	10.00004	-112.99996	135.809	135	26.3468	34.793	12.4401	0.334	3.47E-01	2.28E-02	-0.046	0.7629	0.0011	0.00E+00
681.576	10.00004	-112.99996	134.808	134	26.3333	34.7936	12.5121	0.3335	3.57E-01	2.60E-02	-0.199	0.7632	0.0012	0.00E+00
682.656	10.00004	-112.99996	133.8	133	26.3217	34.793	12.5686	0.3348	3.63E-01	2.78E-02	-0.005	0.7637	0.0012	0.00E+00
683.819	10.00004	-112.99996	132.791	132	26.3164	34.7942	12.6001	0.3351	3.72E-01	2.97E-02	-0.015	0.764	0.0012	0.00E+00
684.846	10.00004	-112.99996	131.78	131	26.3161	34.7945	12.6025	0.3351	3.71E-01	3.33E-02	0.088	0.7641	0.0012	0.00E+00
685.673	10.00004	-112.99996	130.778	130	26.3114	34.7972	12.6371	0.3351	3.60E-01	3.77E-02	0.206	0.7647	0.0012	0.00E+00
686.417	10.00004	-112.99996	129.773	129	26.2993	34.7964	12.6949	0.3348	3.71E-01	4.00E-02	0.187	0.7672	0.0012	0.00E+00
687.161	10.00004	-112.99996	128.771	128	26.2933	34.7962	12.7249	0.3337	3.78E-01	4.47E-02	0.357	0.7699	0.0012	0.00E+00
687.974	10.00004	-112.99996	127.768	127	26.2917	34.7967	12.7347	0.3338	3.97E-01	4.83E-02	0.508	0.7704	0.0012	0.00E+00
689.019	10.00004	-112.99996	126.76	126	26.2928	34.796	12.7259	0.3337	4.30E-01	5.13E-02	0.294	0.7726	0.0012	0.00E+00
690.372	10.00004	-112.99996	125.746	125	26.3072	34.8004	12.6702	0.3342	4.45E-01	5.46E-02	0.076	0.7728	0.0011	0.00E+00
691.541	10.00004	-112.99996	124.739	124	26.3084	34.7994	12.6603	0.3338	4.09E-01	6.02E-02	-0.023	0.7764	0.0012	0.00E+00
692.509	10.00004	-112.99996	123.737	123	26.2901	34.7995	12.753	0.3341	4.13E-01	6.56E-02	0.023	0.7758	0.0012	0.00E+00
